                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7704,                 4.5339,                 1.6484,                0.42621,                0.32917,                0.35812,                0.21282,                 1.7415,                 2.8925,                  1.633,              0.0002361,              0.0002361,              0.0002361
                      2,                 1.6231,                 3.3572,                 1.5225,                0.27464,                0.49971,                0.30896,                0.19113,                 1.8133,                 3.0655,                 1.6976,              0.0004694,              0.0004694,              0.0004694
                      3,                  1.571,                 2.8422,                 1.4776,                0.32447,                0.37143,                0.27363,                0.15406,                 1.8398,                 3.2963,                 1.7303,               0.000698,               0.000698,               0.000698
                      4,                 1.5099,                 2.4411,                 1.4361,                0.30481,                0.49323,                0.39123,                0.25052,                 1.7892,                 2.2544,                 1.6707,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.4187,                  2.027,                 1.3626,                0.36722,                0.36106,                0.30999,                0.18381,                 1.8974,                 2.3236,                  1.746,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.3343,                 1.7329,                 1.2942,                0.48506,                0.41279,                0.46447,                0.30967,                 1.7662,                 1.9624,                 1.6242,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.2511,                 1.4504,                 1.2389,                0.54854,                0.52042,                0.50674,                0.35332,                 1.7747,                 1.8601,                 1.6645,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1825,                 1.3147,                 1.1906,                0.48705,                0.52873,                0.51282,                0.34516,                 1.8136,                 1.9496,                 1.6475,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.1179,                 1.1761,                 1.1461,                0.59597,                 0.5099,                0.58473,                0.39358,                 1.8032,                 1.7228,                 1.6577,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0615,                  1.023,                 1.1127,                0.67692,                 0.4971,                0.58624,                0.40267,                 1.8236,                 1.8199,                 1.6833,             0.00065745,             0.00065745,             0.00065745
                     11,                0.99521,                0.91845,                 1.0763,                0.69313,                0.55105,                0.64762,                0.45911,                 1.7801,                 1.7292,                  1.681,             0.00065038,             0.00065038,             0.00065038
                     12,                0.94984,                0.85414,                 1.0482,                0.76647,                0.49843,                0.64248,                0.44091,                 1.7806,                 1.6184,                 1.6985,             0.00064331,             0.00064331,             0.00064331
                     13,                0.90589,                0.79597,                 1.0291,                0.67567,                0.55263,                0.61986,                0.41672,                 1.7891,                 1.6906,                 1.6735,             0.00063625,             0.00063625,             0.00063625
                     14,                0.86196,                0.75809,                 1.0059,                0.69186,                0.56384,                0.66422,                0.45811,                 1.8081,                 1.6348,                 1.7486,             0.00062918,             0.00062918,             0.00062918
                     15,                0.82199,                0.70626,                0.98357,                0.75389,                0.54602,                 0.6502,                0.45642,                  1.819,                 1.7958,                  1.713,             0.00062211,             0.00062211,             0.00062211
                     16,                0.79427,                0.67408,                0.96891,                0.77511,                0.51376,                0.66316,                0.47643,                 1.7929,                 1.6752,                 1.7337,             0.00061504,             0.00061504,             0.00061504
                     17,                0.76376,                0.63945,                0.95313,                0.64012,                0.60194,                 0.6457,                0.45355,                 1.8409,                 1.7474,                 1.7941,             0.00060797,             0.00060797,             0.00060797
                     18,                0.72769,                0.59152,                0.93924,                0.70158,                0.62688,                0.69386,                0.49672,                 1.7894,                 1.6583,                 1.7445,              0.0006009,              0.0006009,              0.0006009
                     19,                0.69103,                0.56951,                0.92309,                0.82522,                0.51112,                0.66082,                0.47481,                 1.7886,                 1.6361,                 1.7703,             0.00059383,             0.00059383,             0.00059383
                     20,                 0.6624,                0.55106,                0.91497,                0.72799,                0.59131,                0.68609,                0.50041,                 1.8232,                  1.666,                  1.837,             0.00058677,             0.00058677,             0.00058677
                     21,                 0.6468,                0.52542,                0.90115,                0.78765,                0.57532,                 0.7043,                0.52117,                 1.8043,                 1.5856,                 1.8337,              0.0005797,              0.0005797,              0.0005797
                     22,                0.62477,                0.50575,                0.89385,                0.77156,                0.62619,                0.69456,                0.51092,                 1.8089,                 1.6375,                  1.792,             0.00057263,             0.00057263,             0.00057263
                     23,                0.59917,                0.50091,                0.88184,                0.81286,                0.56139,                0.69535,                0.50188,                 1.8086,                 1.6017,                 1.8551,             0.00056556,             0.00056556,             0.00056556
                     24,                0.59028,                0.47915,                 0.8763,                0.79512,                0.58626,                0.69305,                0.51065,                 1.7698,                 1.5698,                 1.7936,             0.00055849,             0.00055849,             0.00055849
                     25,                0.56999,                0.46287,                0.87127,                0.72935,                0.65558,                0.71423,                0.52479,                 1.7931,                 1.6156,                 1.8323,             0.00055142,             0.00055142,             0.00055142
                     26,                 0.5596,                0.45207,                0.86568,                0.78988,                0.57143,                0.69156,                0.50699,                 1.7859,                 1.6411,                 1.8343,             0.00054435,             0.00054435,             0.00054435
                     27,                0.52086,                0.43195,                0.85338,                0.77035,                0.61463,                0.71445,                0.52113,                 1.8129,                 1.6641,                 1.8328,             0.00053728,             0.00053728,             0.00053728
                     28,                0.52118,                0.42525,                0.85497,                0.80317,                0.56606,                0.70497,                0.50924,                 1.8203,                 1.6799,                 1.8839,             0.00053022,             0.00053022,             0.00053022
                     29,                0.49996,                0.41331,                0.84686,                0.77308,                0.56589,                 0.6933,                0.51417,                 1.7935,                  1.643,                 1.8648,             0.00052315,             0.00052315,             0.00052315
                     30,                0.49342,                0.40267,                0.84363,                0.80187,                0.56619,                0.69969,                0.51852,                  1.805,                 1.6973,                 1.9093,             0.00051608,             0.00051608,             0.00051608
                     31,                0.47606,                 0.3903,                0.83796,                0.78148,                0.59201,                0.69948,                0.51142,                  1.804,                 1.7006,                 1.8479,             0.00050901,             0.00050901,             0.00050901
                     32,                0.46389,                0.38778,                 0.8356,                0.72523,                 0.6614,                0.71387,                0.52637,                 1.8153,                  1.697,                 1.8875,             0.00050194,             0.00050194,             0.00050194
                     33,                0.44894,                0.37696,                0.82965,                0.83203,                0.57081,                0.68996,                0.51302,                  1.805,                 1.7752,                 1.8881,             0.00049487,             0.00049487,             0.00049487
