                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8079,                 4.7966,                 1.7045,                0.29329,                0.32252,                0.24535,                0.14796,                 1.7393,                 2.9741,                 1.5965,              0.0002361,              0.0002361,              0.0002361
                      2,                 1.7832,                 3.7491,                 1.6357,                0.24503,                0.38766,                0.22321,                0.12299,                 1.8507,                 3.0715,                 1.7658,              0.0004694,              0.0004694,              0.0004694
                      3,                 1.8201,                 3.3728,                 1.7328,                0.17813,                0.39353,                0.15456,                0.07693,                  1.937,                  3.199,                 1.7893,               0.000698,               0.000698,               0.000698
                      4,                 1.8539,                 3.0856,                 1.7355,                0.23474,                0.34253,                 0.2062,                0.11734,                 1.8928,                 2.8564,                 1.8821,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.7971,                 2.7339,                 1.7142,                0.23043,                0.39437,                0.23382,                0.12996,                 1.8676,                 2.6761,                 1.7633,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.7802,                 2.4913,                 1.6684,                0.32118,                 0.3077,                0.27594,                0.16771,                 1.8124,                 2.1866,                 1.7157,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.7023,                 2.2746,                 1.6061,                0.29354,                0.37835,                 0.3103,                0.19229,                 1.7632,                 2.0698,                 1.6802,             0.00067866,             0.00067866,             0.00067866
                      8,                  1.681,                 2.1755,                 1.5963,                0.30871,                0.40353,                0.32943,                0.20536,                 1.7763,                 1.9642,                 1.6697,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.6708,                 2.1008,                  1.583,                 0.3236,                0.51254,                 0.3856,                0.23434,                 1.7338,                 1.9171,                 1.6104,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.6202,                 1.9605,                 1.5275,                0.35204,                 0.4778,                 0.3943,                0.24486,                 1.7213,                  1.953,                 1.6088,             0.00065745,             0.00065745,             0.00065745
                     11,                   1.61,                 1.8717,                 1.5278,                0.37878,                0.46837,                0.41233,                0.24573,                 1.7613,                 1.8987,                 1.6295,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.5785,                 1.8047,                 1.5068,                0.40925,                0.45499,                0.41426,                0.26303,                 1.7248,                 1.8368,                 1.5948,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.5929,                 1.7526,                 1.5102,                0.59069,                0.42582,                0.47567,                0.30202,                 1.6777,                 1.8356,                 1.5788,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.5267,                 1.6741,                 1.4632,                0.44873,                0.47162,                0.46627,                 0.3114,                 1.7003,                 1.7654,                 1.6056,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.5127,                 1.6263,                 1.4491,                0.40549,                0.57926,                0.49997,                0.32705,                  1.661,                 1.7739,                 1.5563,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.5391,                 1.5897,                 1.4394,                0.52473,                0.51283,                0.52679,                0.35008,                 1.6964,                 1.7196,                 1.5784,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.5063,                 1.5635,                 1.4343,                0.53296,                 0.5162,                0.51786,                0.33402,                 1.6766,                 1.7127,                 1.5657,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.4972,                 1.5599,                 1.4249,                 0.5571,                0.54278,                0.58298,                0.38115,                  1.667,                 1.6475,                 1.5729,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.4793,                 1.5077,                  1.416,                0.59301,                0.54279,                0.58547,                0.40677,                 1.6195,                 1.6297,                 1.5127,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.4621,                 1.4522,                 1.4015,                0.50445,                0.57457,                0.58579,                0.40648,                   1.64,                 1.6159,                 1.5315,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.4384,                 1.4032,                 1.3814,                0.53424,                0.55612,                0.59417,                0.41233,                 1.6412,                 1.6249,                 1.5201,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.4163,                 1.3943,                  1.356,                0.65638,                0.49231,                0.60785,                 0.4256,                 1.6288,                 1.6088,                 1.5089,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.4418,                 1.3734,                 1.3789,                0.59399,                0.55998,                0.63365,                 0.4288,                 1.6305,                 1.5625,                 1.5231,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.4148,                 1.3529,                  1.353,                0.60488,                 0.5679,                0.64849,                0.44448,                  1.631,                 1.5354,                 1.5074,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.3942,                 1.2989,                 1.3446,                0.67972,                0.56203,                0.66077,                0.45417,                 1.6445,                 1.5489,                 1.5171,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.4051,                 1.2834,                 1.3414,                0.66105,                0.62776,                0.67257,                0.47298,                 1.6398,                 1.4952,                 1.5221,             0.00054435,             0.00054435,             0.00054435
